Hostname,Rule ID,Severity,Result
wrkr224,xccdf_org.ssgproject.content_rule_systemd_journal_upload_server_tls,medium,notapplicable
wrkr224,xccdf_org.ssgproject.content_rule_systemd_journal_upload_url,medium,notapplicable
wrkr224,xccdf_org.ssgproject.content_rule_rsyslog_nolisten,medium,pass
wrkr224,xccdf_org.ssgproject.content_rule_rsyslog_remote_loghost,medium,notselected
wrkr224,xccdf_org.ssgproject.content_rule_firewall_single_service_active,medium,pass
wrkr224,xccdf_org.ssgproject.content_rule_package_iptables-persistent_installed,medium,pass
wrkr224,xccdf_org.ssgproject.content_rule_package_iptables_installed,medium,notapplicable
wrkr224,xccdf_org.ssgproject.content_rule_package_iptables-persistent_removed,medium,pass
wrkr224,xccdf_org.ssgproject.content_rule_set_ip6tables_default_rule,medium,notapplicable
wrkr224,xccdf_org.ssgproject.content_rule_set_ipv6_loopback_traffic,medium,notapplicable
wrkr224,xccdf_org.ssgproject.content_rule_set_loopback_traffic,medium,notapplicable
wrkr224,xccdf_org.ssgproject.content_rule_ip6tables_rules_for_open_ports,medium,notapplicable
wrkr224,xccdf_org.ssgproject.content_rule_iptables_rules_for_open_ports,medium,notapplicable
wrkr224,xccdf_org.ssgproject.content_rule_set_iptables_default_rule,medium,notapplicable
wrkr224,xccdf_org.ssgproject.content_rule_sysctl_net_ipv6_conf_all_accept_ra,medium,pass
wrkr224,xccdf_org.ssgproject.content_rule_sysctl_net_ipv6_conf_all_accept_redirects,medium,pass
wrkr224,xccdf_org.ssgproject.content_rule_sysctl_net_ipv6_conf_all_accept_source_route,medium,pass
wrkr224,xccdf_org.ssgproject.content_rule_sysctl_net_ipv6_conf_all_forwarding,medium,pass
wrkr224,xccdf_org.ssgproject.content_rule_sysctl_net_ipv6_conf_default_accept_ra,medium,pass
wrkr224,xccdf_org.ssgproject.content_rule_sysctl_net_ipv6_conf_default_accept_redirects,medium,pass
wrkr224,xccdf_org.ssgproject.content_rule_sysctl_net_ipv6_conf_default_accept_source_route,medium,pass
wrkr224,xccdf_org.ssgproject.content_rule_sysctl_net_ipv4_conf_all_accept_redirects,medium,pass
wrkr224,xccdf_org.ssgproject.content_rule_sysctl_net_ipv4_conf_all_accept_source_route,medium,fail
wrkr224,xccdf_org.ssgproject.content_rule_sysctl_net_ipv4_conf_all_log_martians,unknown,fail
wrkr224,xccdf_org.ssgproject.content_rule_sysctl_net_ipv4_conf_all_rp_filter,medium,fail
wrkr224,xccdf_org.ssgproject.content_rule_sysctl_net_ipv4_conf_all_secure_redirects,medium,fail
wrkr224,xccdf_org.ssgproject.content_rule_sysctl_net_ipv4_conf_default_accept_redirects,medium,fail
wrkr224,xccdf_org.ssgproject.content_rule_sysctl_net_ipv4_conf_default_accept_source_route,medium,fail
wrkr224,xccdf_org.ssgproject.content_rule_sysctl_net_ipv4_conf_default_log_martians,unknown,fail
wrkr224,xccdf_org.ssgproject.content_rule_sysctl_net_ipv4_conf_default_rp_filter,medium,fail
wrkr224,xccdf_org.ssgproject.content_rule_sysctl_net_ipv4_conf_default_secure_redirects,medium,fail
wrkr224,xccdf_org.ssgproject.content_rule_sysctl_net_ipv4_icmp_echo_ignore_broadcasts,medium,pass
wrkr224,xccdf_org.ssgproject.content_rule_sysctl_net_ipv4_icmp_ignore_bogus_error_responses,unknown,pass
wrkr224,xccdf_org.ssgproject.content_rule_sysctl_net_ipv4_tcp_syncookies,medium,fail
wrkr224,xccdf_org.ssgproject.content_rule_sysctl_net_ipv4_conf_all_send_redirects,medium,fail
wrkr224,xccdf_org.ssgproject.content_rule_sysctl_net_ipv4_conf_default_send_redirects,medium,fail
