Hostname,Rule ID,Severity,Result
wrkr324,xccdf_org.ssgproject.content_rule_grub2_enable_apparmor,medium,fail
wrkr324,xccdf_org.ssgproject.content_rule_file_owner_grub2_cfg,medium,pass
wrkr324,xccdf_org.ssgproject.content_rule_file_permissions_grub2_cfg,medium,pass
wrkr324,xccdf_org.ssgproject.content_rule_grub2_password,high,fail
wrkr324,xccdf_org.ssgproject.content_rule_grub2_uefi_password,high,notapplicable
wrkr324,xccdf_org.ssgproject.content_rule_zipl_audit_argument,medium,notselected
wrkr324,xccdf_org.ssgproject.content_rule_zipl_audit_backlog_limit_argument,medium,notselected
wrkr324,xccdf_org.ssgproject.content_rule_package_rsyslog_installed,medium,pass
wrkr324,xccdf_org.ssgproject.content_rule_service_rsyslog_enabled,medium,pass
wrkr324,xccdf_org.ssgproject.content_rule_ensure_rtc_utc_configuration,high,notselected
wrkr324,xccdf_org.ssgproject.content_rule_logging_services_active,medium,pass
wrkr324,xccdf_org.ssgproject.content_rule_rsyslog_filecreatemode,medium,pass
wrkr324,xccdf_org.ssgproject.content_rule_rsyslog_remote_access_monitoring,medium,notselected
wrkr324,xccdf_org.ssgproject.content_rule_package_systemd-journal-remote_installed,medium,notapplicable
wrkr324,xccdf_org.ssgproject.content_rule_service_systemd-journal-upload_enabled,medium,notapplicable
wrkr324,xccdf_org.ssgproject.content_rule_service_systemd-journald_enabled,medium,pass
wrkr324,xccdf_org.ssgproject.content_rule_dir_groupowner_system_journal,medium,notselected
wrkr324,xccdf_org.ssgproject.content_rule_dir_owner_system_journal,medium,notselected
wrkr324,xccdf_org.ssgproject.content_rule_dir_permissions_system_journal,medium,notselected
wrkr324,xccdf_org.ssgproject.content_rule_file_groupowner_journalctl,medium,notselected
wrkr324,xccdf_org.ssgproject.content_rule_file_groupowner_system_journal,medium,notselected
wrkr324,xccdf_org.ssgproject.content_rule_file_owner_journalctl,medium,notselected
wrkr324,xccdf_org.ssgproject.content_rule_file_owner_system_journal,medium,notselected
wrkr324,xccdf_org.ssgproject.content_rule_file_permissions_journalctl,medium,notselected
wrkr324,xccdf_org.ssgproject.content_rule_file_permissions_system_journal,medium,notselected
wrkr324,xccdf_org.ssgproject.content_rule_journald_compress,medium,notapplicable
wrkr324,xccdf_org.ssgproject.content_rule_journald_disable_forward_to_syslog,medium,notapplicable
wrkr324,xccdf_org.ssgproject.content_rule_journald_forward_to_syslog,medium,fail
wrkr324,xccdf_org.ssgproject.content_rule_journald_storage,medium,notapplicable
wrkr324,xccdf_org.ssgproject.content_rule_socket_systemd-journal-remote_disabled,medium,pass
wrkr324,xccdf_org.ssgproject.content_rule_systemd_journal_upload_server_tls,medium,notapplicable
wrkr324,xccdf_org.ssgproject.content_rule_systemd_journal_upload_url,medium,notapplicable
wrkr324,xccdf_org.ssgproject.content_rule_rsyslog_nolisten,medium,pass
wrkr324,xccdf_org.ssgproject.content_rule_rsyslog_remote_loghost,medium,notselected
wrkr324,xccdf_org.ssgproject.content_rule_firewall_single_service_active,medium,pass
wrkr324,xccdf_org.ssgproject.content_rule_package_iptables-persistent_installed,medium,pass
wrkr324,xccdf_org.ssgproject.content_rule_package_iptables_installed,medium,notapplicable
wrkr324,xccdf_org.ssgproject.content_rule_package_iptables-persistent_removed,medium,pass
wrkr324,xccdf_org.ssgproject.content_rule_set_ip6tables_default_rule,medium,notapplicable
wrkr324,xccdf_org.ssgproject.content_rule_set_ipv6_loopback_traffic,medium,notapplicable
wrkr324,xccdf_org.ssgproject.content_rule_set_loopback_traffic,medium,notapplicable
